"ticker","date","value","field","variable","nice_field"
"MXAP Index",2000-03-31,136.3692,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-04-28,126.0399,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-05-31,118.8012,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-06-30,127.1038,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-07-31,115.1503,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-08-31,119.9652,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-09-29,112.393,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-10-31,105.2531,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-11-30,101.4499,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2000-12-29,97.398,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-01-31,100.0797,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-02-28,95.5117,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-03-30,90.0362,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-04-30,94.9921,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-05-31,94.8246,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-06-29,90.7348,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-07-31,84.9971,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-08-31,83.3291,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-09-28,73.9956,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-10-31,75.4567,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-11-30,79.0732,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2001-12-31,77.3417,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-01-31,74.4564,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-02-28,76.4788,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-03-29,80.9237,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-04-30,83.889,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-05-31,87.1656,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-06-28,82.7472,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-07-31,77.5202,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-08-30,76.9499,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-09-30,72.3245,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-10-31,70.4129,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-11-29,73.3377,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2002-12-31,71.0455,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-01-31,69.5876,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-02-28,68.9552,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-03-31,66.7349,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-04-30,67.7359,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-05-30,71.4676,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-06-30,76.2226,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-07-31,79.5561,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-08-29,86.425,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-09-30,90.3102,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-10-31,95.752,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-11-28,93.7044,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2003-12-31,100.3186,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-01-30,102.8345,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-02-27,104.21,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-03-31,112.3911,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-04-30,106.2026,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-05-31,103.1191,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-06-30,106.5031,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-07-30,102.0042,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-08-31,103.9425,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-09-30,104.451,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-10-29,107.1148,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-11-30,113.9786,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2004-12-31,119.2536,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-01-31,117.8362,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-02-28,121.967,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-03-31,118.3693,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-04-29,115.9087,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-05-31,116.1183,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-06-30,117.9712,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-07-29,121.2068,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-08-31,125.1577,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-09-30,135.913,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-10-31,131.3724,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-11-30,137.9528,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2005-12-30,147.8771,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-01-31,156.4519,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-02-28,155.4117,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-03-31,158.7901,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-04-28,166.2519,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-05-31,155.4829,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-06-30,154.4664,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-07-31,154.2743,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-08-31,157.8489,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-09-29,157.7191,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-10-31,162.4044,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-11-30,167.6418,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2006-12-29,173.175,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-01-31,173.3459,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-02-28,178.0038,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-03-30,179.3593,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-04-30,181.4298,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-05-31,186.7727,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-06-29,190.4531,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-07-31,194.519,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-08-31,190.3043,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-09-28,205.038,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-10-31,215.2018,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-11-30,203.7454,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2007-12-31,198.9512,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2008-01-31,180.9853,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2008-02-29,186.3988,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2008-03-31,177.0885,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2008-04-30,190.8354,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
"MXAP Index",2008-05-30,191.2792,"TOT RETURN INDEX GROSS DVDS","Asia Pacific","Price TR"
