"ticker","date","value","field","variable","nice_field"
"MXFEJ Index",2002-05-31,1.5473,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-06-28,1.4611,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-07-31,1.5633,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-08-30,1.526,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-09-30,1.3513,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-10-31,1.3785,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-11-29,1.4461,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2002-12-31,1.3461,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-01-31,1.3862,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-02-28,1.3192,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-03-31,1.254,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-04-30,1.1964,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-05-30,1.2825,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-06-30,1.3538,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-07-31,1.5055,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-08-29,1.6106,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-09-30,1.6145,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-10-31,1.7311,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-11-28,1.7036,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2003-12-31,1.7927,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-01-30,1.8991,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-02-27,1.9629,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-03-31,1.9163,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-04-30,1.6639,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-05-31,1.6159,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-06-30,1.5957,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-07-30,1.4739,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-08-31,1.546,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-09-30,1.597,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-10-29,1.5541,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-11-30,1.6862,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2004-12-31,1.7311,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-01-31,1.7276,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-02-28,1.8242,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-03-31,1.7354,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-04-29,1.5478,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-05-31,1.5248,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-06-30,1.5569,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-07-29,1.6406,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-08-31,1.5799,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-09-30,1.6557,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-10-31,1.57,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-11-30,1.686,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2005-12-30,1.783,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-01-31,1.9346,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-02-28,1.9274,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-03-31,1.9449,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-04-28,2.009,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-05-31,1.8042,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-06-30,1.7889,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-07-31,1.7263,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-08-31,1.7688,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-09-29,1.8177,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-10-31,1.8506,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-11-30,1.9959,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2006-12-29,2.082,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-01-31,2.0483,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-02-28,2.0672,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-03-30,2.1113,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-04-30,1.9458,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-05-31,2.0576,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-06-29,2.1659,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-07-31,2.3149,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-08-31,2.2822,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-09-28,2.5421,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-10-31,2.7589,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-11-30,2.4989,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2007-12-31,2.4623,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-01-31,2.0982,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-02-29,2.2404,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-03-31,2.1249,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-04-30,2.1372,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-05-30,2.0771,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-06-30,1.8437,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-07-31,1.7851,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-08-29,1.6454,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-09-30,1.3903,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-10-31,1.0595,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-11-28,0.9997,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2008-12-31,1.0998,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-01-30,1.0668,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-02-27,1.0006,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-03-31,1.2003,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-04-30,1.4031,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-05-29,1.5931,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-06-30,1.5864,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-07-31,1.8692,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-08-31,1.8168,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-09-30,1.9608,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-10-30,1.9577,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-11-30,1.9958,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2009-12-31,2.0834,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-01-29,1.8997,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-02-26,1.9047,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-03-31,1.7685,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-04-30,1.7909,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-05-31,1.6433,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
"MXFEJ Index",2010-06-30,1.6627,"PX TO BOOK RATIO","Far East ex Japon","PB Ratio"
